id,yoruba,audio
yof_00295_00988402403_01,Àwọn ìjọba ti ń da ọ̀dà sí títì ìlú wa.,yof_00295_00988402403_01.wav
yof_00295_00964382220_01,Ọba gan ò rí ohun kankan ṣe sọ́rọ̀ ilẹ̀ yí.,yof_00295_00964382220_01.wav
yof_00295_00963887414_01,Gbogbo àwọn ìṣòwò pátápátá jẹ́ ti ìjọba.,yof_00295_00963887414_01.wav
yof_00295_00962828791_01,Màá máa wá wò yìn nílé láìpẹ́.,yof_00295_00962828791_01.wav
yof_00295_00939989128_01,Àdúrà fún àwọn ológun Orílẹ̀-Èdè wa àti ìdílé wọn.,yof_00295_00939989128_01.wav
yof_00295_00876128926_01,Ṣé nítorí Ànọ́bi ni Ọlọ̀run ṣe dáa yín?,yof_00295_00876128926_01.wav
yof_00295_00872733233_01,Ilé ayé gba jẹ́jẹ́ ni bàbá máa ń sọ.,yof_00295_00872733233_01.wav
yof_00295_00871016206_01,Jẹ́ ka fi bọ̀lì ṣe oúnjẹ ọ̀sán.,yof_00295_00871016206_01.wav
yof_00295_00849678849_01,"Ṣé o ti jẹ ẹran ajá rí.",yof_00295_00849678849_01.wav
yof_00295_00833359533_01,"Bó bá wu ẹ̀yíòwùnmí, kó má da ẹran lọ sínú igbó.",yof_00295_00833359533_01.wav
yof_00295_00787941514_01,"Kí àwọn ìjọba fún àwọn ará ìlú ní amojútó àti ìbò tí ó yẹ.",yof_00295_00787941514_01.wav
yof_00295_00777977849_01,"Orí ẹni ní ń mọ àtilà ẹni.",yof_00295_00777977849_01.wav
yof_00295_00759398392_01,"Àwọn pẹ́pẹ́yẹ ń wẹ̀ nínú odò.",yof_00295_00759398392_01.wav
yof_00295_00749261129_01,"Ọ̀nà ibo ni mo lè gbà dé Sáfẹ́jọ́?",yof_00295_00749261129_01.wav
yof_00295_00732956445_01,"Ẹ má jẹ kí n fẹ̀fun.",yof_00295_00732956445_01.wav
yof_00295_00708065118_01,"Mo júbà àwọn tó layé, àwọn tọ́ ti wà k’áwa tó dé.",yof_00295_00708065118_01.wav
yof_00295_00701915531_01,"Àwọn ọmọ ológbe náà náwó rẹpẹtẹ sí ayẹyẹ òkú náà.",yof_00295_00701915531_01.wav
yof_00295_00677007677_01,"Gẹ́rẹ́ tí wọ́n dé ọjà ni wọ́n rí wọn ní ẹ̀gbẹ́ ọ̀nà.",yof_00295_00677007677_01.wav
yof_00295_00670146730_01,"Ògúndípẹ̀ ni ọ̀gá wa.",yof_00295_00670146730_01.wav
yof_00295_00654803226_01,"Ògì ni màma Pamílẹ́rin ń tà.",yof_00295_00654803226_01.wav
yof_00295_00635387478_01,"Ọlọ́run má jẹ́ a rí ìjà omi.",yof_00295_00635387478_01.wav
yof_00295_00626766260_01,"Ilé títúnṣe àti ọmọ títọ́ ni iṣẹ́ ti àwọn ìyá nígbà yẹn.",yof_00295_00626766260_01.wav
yof_00295_00613194089_01,"Mo ra bàtà mẹ́ta l’ọ́jà Akẹ̀sán.",yof_00295_00613194089_01.wav
yof_00295_00612305272_01,"Wọ́n ń dáná sí ẹ̀gbẹ́ igbó.",yof_00295_00612305272_01.wav
yof_00295_00564596981_01,"Ìyálẹ̀ta la wà báyìí.",yof_00295_00564596981_01.wav
yof_00295_00480434341_01,"Ire ló yẹ ní ṣíṣe, ìkà kọ́.",yof_00295_00480434341_01.wav
yof_00295_00444601186_01,"Iná ti tán lórí ẹ̀rọ ìbánisọ̀rọ̀ mi.",yof_00295_00444601186_01.wav
yof_00295_00434743286_01,"Abẹ́ àtíbàbà ni ìpàdé náà yó ti wáyé.",yof_00295_00434743286_01.wav
yof_00295_00427144639_01,"Yọ ipin ojú ẹ kí o tó máa wo ti ẹlòmíràn.",yof_00295_00427144639_01.wav
yof_00295_00334963468_01,"Gbólúwaga ṣẹ̀ṣẹ̀ dé láti ibi tí ìyá rẹ rán-an ni.",yof_00295_00334963468_01.wav
yof_00295_00318039388_01,"Nínú ẹ̀wọ̀n ọdún méjìlá tí wọ́n dá fún Tájù, ọdún mẹ́wàá ló lò níbẹ̀.",yof_00295_00318039388_01.wav
yof_00295_00278884696_01,"Jùwọ́n ló gbà mí sílè nígbà tí wàhálà pọ̀ fún mi.",yof_00295_00278884696_01.wav